Final2017,First2017,ChangeFinal16to17,ChangeFinal15to16,ChangeFirst16to17,First2018,ChangeFirst2018,PredictResult,,,Estimate Beta,,,
246376,55061,0.01384711,0.252317714,0.309915782,59531,0.081182688,,,Intercept,1.10E+04,,,
149132,34641,-0.150791798,0.050423787,-0.157706616,38943,0.124188101,,,FirstResult,2.129,,,
113615,32340,0.011340472,-0.322385683,-0.08821788,32614,0.00847248,,,ChangeFinal16to17,-1.14E+04,,,
82803,27614,-0.25004755,-0.195559992,0.035007496,27008,-0.02194539,,,ChangeFinal15to16,-7.72E+03,,,
73368,25032,-0.203474107,-0.125169771,0.110756124,22762,-0.090683925,,,ChangeFirst2018,-9.74E+03,,,
63124,24947,-0.193602371,-0.200141009,0.188631599,20670,-0.17144346,60438.34,,,,,,
58314,21667,-0.156812562,-0.1506104,0.455235409,17332,-0.200073845,52810.83,,,,,,
52475,21151,-0.229736077,-0.097609113,0.555334951,13981,-0.338991064,47448.41,,,,,,
48143,17047,-0.205443053,-0.179017113,0.317897178,13905,-0.184313956,46132.40,,,,,,
45684,16867,-0.220728712,-0.075535371,0.327587564,13372,-0.207209344,44595.59,,,,,,
42663,12396,-0.272086675,-0.048013514,-0.018527316,12662,0.021458535,41227.07,,,,,,
41491,12031,-0.173321379,-0.099165395,-0.030539887,11533,-0.041393068,38709.42,,,,,,
41230,11961,-0.124516924,-0.1224775,0.006140646,11369,-0.049494189,38065.15,,,,,,
40202,11864,-0.071933146,-0.176604763,0.038333625,11297,-0.047791639,37716.15,,,,,,
38576,11373,-0.050974218,-0.173804346,-0.000527287,11059,-0.02760925,36753.36,,,,,,
35540,11363,-0.113074293,-0.102291821,0.019468868,10963,-0.035201971,36775.91,,,,,,
35201,11207,-0.12021694,-0.090348983,0.056267672,10859,-0.031052021,36502.97,,,,,,
34977,11127,-0.051959668,-0.155066987,0.107935876,10671,-0.040981397,35924.15,,,,,,---
34688,11084,0.034721394,-0.055821551,0.125164958,10531,-0.049891736,33963.18,,,,,,
31779,10767,-0.042108753,0.105093101,0.095766334,10302,-0.043187517,33040.58,,,,,,
30282,10737,-0.079182631,0.166294287,0.148465076,10296,-0.041072925,32955.71,,,,,,
30236,10489,-0.058596426,0.18981996,0.148095447,10296,-0.018400229,32319.65,,,,,,
29903,10113,-0.045059718,0.202026794,0.114994487,9880,-0.023039652,31231.34,,,,,,
29699,9966,-0.009472034,0.168927875,0.126356239,9679,-0.028797913,30711.00,,,,,,
28623,9624,-0.030287631,0.161126628,0.105063727,9647,0.002389859,30635.53,,,,,,
28554,8965,-0.02655712,0.167854441,0.03034134,9627,0.073842722,29802.67,,,,,,
28452,8729,-0.026050046,0.18232961,0.037931034,9481,0.086149616,29254.50,,,,,,
28355,8653,-0.012227409,0.168382922,0.033564262,9179,0.060788166,28809.32,,,,,,
28118,8626,-0.015234826,0.228773077,0.034168565,9057,0.049965221,28223.12,,,,,,
28037,8448,-0.011702915,0.260732379,0.017831325,8958,0.060369318,27624.28,,,,,,
27384,8401,-0.031751644,0.257704451,0.023513645,8812,0.048922747,27675.87,,,,,,
26444,8312,-0.064260439,0.273489252,0.055760193,8746,0.052213667,27750.46,,,,,,
25988,8160,-0.054534871,0.241172221,0.057679844,8613,0.055514706,27574.15,,,,,,
25900,7983,-0.009635974,0.21203133,0.045579568,8552,0.071276462,27006.03,,,,,,
25733,7433,-0.008858761,0.213904993,-0.015496689,8502,0.143818108,26169.67,,,,,,
25731,7302,0.004607035,0.211876035,-0.023927282,8299,0.136537935,25671.22,,,,,,
25364,7288,0.012979752,0.195978219,0.01873078,8293,0.137897914,25672.85,,,,,,
24996,6984,0.038945925,0.168479845,0.001864869,8239,0.179696449,25068.21,,,,,,
24585,6981,0.057373876,0.137691442,0.004027039,8102,0.160578714,24991.20,,,,,,
24458,6954,0.063622527,0.129753365,0.003608024,7951,0.143370722,24827.68,,,,,,
24401,6811,0.087921887,0.125897294,0.062558502,7867,0.155043312,24289.10,,,,,,
24303,6785,0.110689639,0.108516136,0.066153363,7555,0.11348563,23905.39,,,,,,
24276,6753,0.110318332,0.126952219,0.066150931,7490,0.10913668,23671.31,,,,,,
24108,6684,0.118233684,0.172194432,0.057929725,7409,0.108467983,23066.40,,,,,,
23304,6681,0.109238898,0.15149356,0.086341463,7092,0.061517737,23110.69,,,,,,
23225,6516,0.107006673,0.160077412,0.078986587,6942,0.065377532,22712.83,,,,,,
22895,6496,0.094773586,0.158743351,0.091581247,6797,0.046336207,22738.75,,,,,,
22264,6175,0.078525408,0.14549692,0.040262803,6761,0.094898785,22475.70,,,,,,
21643,6144,0.049713842,0.172876728,0.03608769,6727,0.094889323,22519.12,,,,,,
21472,6031,0.061498912,0.158135807,0.017203576,6690,0.109268778,22280.28,,,,,,
21296,6024,0.063683133,0.151492494,0.021016949,6678,0.108565737,22288.05,,,,,,
20910,5994,0.070441282,0.127178304,0.045343565,6632,0.106439773,22321.75,,,,,,
20818,5612,0.074366517,0.121483968,-0.009705311,6615,0.178724163,21580.83,,,,,,
20640,5594,0.067991307,0.128064441,-0.01096181,6577,0.17572399,21550.73,,,,,,
20356,5557,0.056137802,0.129049265,-0.004835244,6507,0.170955552,21575.09,,,,,,
19919,5523,0.040700104,0.124625419,0.022209883,6466,0.17074054,21699.25,,,,,,
19752,5393,0.066292377,0.098239165,0.005219012,6416,0.189690339,21321.36,,,,,,
19467,5361,0.087663426,0.092273892,0.000933532,6408,0.195299384,21053.16,,,,,,
19372,5286,0.15042461,0.070570284,0.00246539,6406,0.211880439,20342.54,,,,,,
19263,5230,0.154095021,0.065428316,-0.003429878,6386,0.221032505,20208.83,,,,,,
18814,5218,0.136934977,0.064933393,0.029191321,6192,0.186661556,20329.19,,,,,,
18363,5159,0.130308999,0.049890138,0.076136838,6147,0.191509983,20377.45,,,,,,
18299,5154,0.144116544,0.05522201,0.098699638,6116,0.186651145,20160.92,,,,,,
18052,5148,0.143038055,0.057590571,0.103300471,6072,0.179487179,20131.00,,,,,,
17757,5112,0.129867651,0.053633682,0.121052632,5973,0.16842723,20207.98,,,,,,
17744,5048,0.130407084,0.069715142,0.108963093,5945,0.177694136,19927.87,,,,,,
17662,4972,0.132179487,0.063467176,0.119567665,5931,0.192880129,19778.24,,,,,,
17320,4909,0.150295544,0.030948305,0.141627907,5871,0.195966592,19665.77,,,,,,
17303,4800,0.157391304,0.025025711,0.120448179,5845,0.217708333,19363.79,,,,,,
16930,4795,0.135251123,0.025300791,0.140851773,5797,0.208967675,19595.91,,,,,,
16641,4789,0.14371134,0.016132411,0.183638161,5774,0.205679683,19553.70,,,,,,
16511,4741,0.135244774,0.041759186,0.224431818,5716,0.205652816,19328.82,,,,,,
16492,4692,0.163292657,0.029033897,0.21177686,5620,0.197783461,18980.95,,,,,,
16393,4679,0.180881717,0.010040745,0.222948249,5507,0.176960889,18890.14,,,,,,
16162,4673,0.183422421,-0.002046036,0.23689783,5461,0.16862829,18937.81,,,,,,
16097,4666,0.186132194,0.002363542,0.293595786,5461,0.170381483,18855.94,,,,,,
15990,4659,0.18339254,0.018313362,0.317963225,5420,0.163339772,18745.26,,,,,,
15804,4641,0.182403112,0.014882308,0.324486301,5405,0.164619694,18738.56,,,,,,
15598,4618,0.181308694,0.0029624,0.347927612,5294,0.146383716,18784.29,,,,,,
15396,4431,0.179047327,-0.00442208,0.312888889,5278,0.191153239,18396.78,,,,,,
15366,4421,0.184734002,0.064876206,0.312258831,5272,0.192490387,17771.66,,,,,,
15151,4407,0.175407292,0.064876206,0.335859351,5225,0.185613796,17844.44,,,,,,
15107,4404,0.218699581,0.064876206,0.35174954,5187,0.177792916,17348.35,,,,,,
14196,4396,0.147522431,0.064876206,0.446052632,5164,0.174704277,18137.33,,,,,,
13695,4388,0.114864865,0.064876206,0.452980132,5117,0.166134913,18491.41,,,,,,
13660,4324,0.127620934,0.064876206,0.455892256,5081,0.17506938,18182.95,,,,,,
13530,4290,0.176726387,0.064876206,0.456211813,5077,0.183449883,17535.45,,,,,,
13037,4261,0.190484887,0.064876206,0.505121865,4979,0.168505046,17316.23,,,,,,
12348,4199,0.185142528,0.064876206,0.492712407,4979,0.185758514,17208.80,,,,,,
11903,4150,0.18367144,0.064876206,0.485325698,4934,0.188915663,17098.94,,,,,,
11868,4111,0.191446642,0.064876206,0.634592445,4879,0.18681586,16914.05,,,,,,
11721,3948,0.183939394,0.064876206,0.57793765,4856,0.229989868,16529.73,,,,,,
11503,3850,0.172220524,0.064876206,0.543704892,4837,0.256363636,16365.38,,,,,,
11196,3848,0.156133829,0.064876206,0.54973822,4772,0.24012474,16567.76,,,,,,
10882,3833,0.157290227,0.064876206,0.583884298,4587,0.196712758,16583.65,,,,,,
10755,3819,0.195398466,0.064876206,0.595238095,4587,0.201099764,16108.39,,,,,,
10751,3799,0.196682992,0.064876206,0.587547012,4406,0.159778889,16110.97,,,,,,
10672,3770,0.191603394,0.064876206,0.600169779,4392,0.164986737,16088.08,,,,,,
10538,3682,0.219958324,0.064876206,0.597396963,4380,0.189570885,15501.23,,,,,,
